"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator data by Lower Super Output Area - Income Deprivation"
""

Filters:
Indicator: Income deprivation (percentage of population)
Year: 2017

"","All Ages ","","","","","","","","","","","","","","","All Ages "
"","0 - 15 ","0 - 18 ","16 - 64 ",65+ ,"0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 34 ","35 - 44 ","45 - 54 ","55 - 64 ","65 - 74 ",75+ ,"."
"Flintshire 013F ",8,8,4,10,5,7,13,3,4,7,4,5,2,6,14,7
"Flintshire 015A ",18,16,7,14,23,19,12,6,6,8,8,4,9,10,18,10
"Flintshire 015B ",18,18,8,18,15,24,15,17,7,9,7,7,9,19,17,12
"Flintshire 015C ",4,5,3,7,7,2,4,8,5,1,4,4,2,6,9,4
"Flintshire 015D ",31,29,13,22,34,32,27,17,17,13,10,11,13,20,24,18
"Flintshire 015E ",28,30,13,31,21,28,35,38,11,8,14,14,17,27,37,19
"Flintshire 015F ",12,14,6,9,9,8,18,19,4,5,5,7,5,8,14,8
"Flintshire 017A ",35,33,13,23,34,32,39,19,8,16,18,12,10,18,27,19
"Flintshire 017B ",16,15,6,9,23,15,12,11,8,7,6,6,3,5,15,8
"Flintshire 017C ",28,27,14,21,27,27,30,23,18,16,10,14,11,18,25,18
"Flintshire 017D ",33,33,21,29,37,30,33,30,20,23,19,21,20,26,35,25
"Flintshire 017E ",12,12,6,10,14,10,11,13,6,4,6,6,4,10,12,8
"Flintshire 017F ",9,9,6,12,10,7,9,9,8,5,6,6,8,8,20,8
"Flintshire 018A ",2,3,3,8,2,2,2,7,5,5,2,1,2,6,13,4
"Flintshire 018B ",7,7,4,10,9,5,7,6,5,5,4,4,3,9,12,6
"Flintshire 018C ",10,11,5,8,9,7,11,17,6,4,6,4,2,6,11,6
"Flintshire 014A ",8,6,4,7,6,11,6,1,4,3,5,3,4,5,10,5
"Flintshire 014B ",9,8,5,7,8,7,12,2,10,6,5,5,2,4,10,6
"Flintshire 014C ",12,11,5,11,13,10,13,7,7,7,5,5,3,6,17,8
"Flintshire 014D ",8,7,3,6,8,4,11,2,6,4,3,5,0,4,12,5
"Flintshire 014E ",9,10,9,10,10,12,6,17,9,12,8,9,6,5,20,9
"Flintshire 016A ",21,19,10,20,23,21,19,8,10,11,12,8,8,17,23,14
"Flintshire 016B ",26,24,15,17,27,25,25,19,12,18,11,19,12,14,21,17
"Flintshire 016C ",25,23,12,11,25,23,28,15,13,14,12,10,13,10,12,14
"Flintshire 016D ",6,6,3,6,7,3,8,6,3,5,4,2,3,3,9,4
"Flintshire 016E ",2,2,1,3,0,2,3,2,3,3,0,1,0,1,6,2
"Flintshire 016F ",33,34,21,36,31,35,34,36,16,22,24,16,20,29,41,27
"Flintshire 016G ",12,12,14,11,14,11,12,12,14,13,13,16,12,10,13,13
"Flintshire 019A ",9,9,4,8,15,11,2,11,5,5,8,3,2,5,13,6
"Flintshire 019B ",11,11,4,10,6,12,13,13,4,4,5,3,2,6,17,6
"Flintshire 019C ",16,16,10,15,26,14,12,17,12,11,8,8,8,10,24,12
"Flintshire 019D ",14,14,7,13,26,11,11,10,11,10,7,5,5,11,17,10
"Flintshire 020A ",12,12,9,21,15,9,11,12,11,8,6,12,6,13,29,13
"Flintshire 020B ",4,4,2,9,6,1,4,2,5,2,2,2,3,6,12,4
"Flintshire 020C ",25,22,8,12,24,19,30,9,6,12,8,7,7,6,21,12
"Flintshire 020D ",11,12,5,8,14,7,13,12,6,7,4,3,2,5,14,7
"Wrexham 003A ",19,20,16,17,18,20,19,29,16,17,13,14,14,13,25,17
"Wrexham 003B ",9,9,7,20,6,8,13,10,5,5,7,8,8,17,22,8
"Wrexham 003C ",11,11,6,11,10,9,13,18,4,4,5,7,4,10,12,8
"Wrexham 003D ",12,12,7,13,12,15,10,9,10,7,7,6,4,9,21,9
"Wrexham 003E ",33,31,18,35,23,36,37,20,20,13,18,14,24,28,45,24
"Wrexham 004A ",13,14,7,19,10,10,19,21,6,4,7,5,8,13,31,10
"Wrexham 004B ",37,35,21,23,41,39,29,24,27,22,19,21,17,17,35,25
"Wrexham 004C ",32,32,20,30,32,25,45,31,23,22,15,24,13,25,40,24
"Wrexham 004D ",11,11,8,16,5,10,15,12,7,4,9,11,6,14,19,10
"Wrexham 005A ",25,25,11,14,28,27,18,29,13,11,12,9,8,11,18,14
"Wrexham 005B ",31,31,19,32,35,31,25,38,17,22,16,20,16,27,39,24
"Wrexham 005C ",26,25,11,23,29,21,28,16,19,9,10,12,7,15,36,16
"Wrexham 005D ",36,34,16,20,40,33,36,24,20,21,16,8,14,17,23,21
"Wrexham 020F ",18,16,6,10,20,14,19,8,10,4,8,6,4,4,15,9
"Wrexham 020G ",7,6,3,13,19,9,1,3,1,7,1,3,2,9,17,7
"Wrexham 020A ",8,8,5,10,15,7,4,9,3,9,4,4,5,7,15,6
"Wrexham 020B ",8,10,6,10,2,12,7,21,12,10,3,5,4,3,18,8
"Wrexham 020C ",13,13,7,10,9,12,15,17,8,5,5,8,4,7,14,8
"Wrexham 020H ",4,4,3,5,6,2,3,5,5,7,2,3,3,2,9,4
"Wrexham 020I ",1,1,2,2,0,0,2,2,0,1,3,3,1,1,4,2
"Wrexham 020D ",4,5,3,4,4,1,6,7,5,2,3,2,2,2,8,3
"Wrexham 020E ",10,11,7,12,17,11,5,16,9,7,4,6,9,10,15,9
"Wrexham 007A ",3,3,4,6,0,3,5,0,9,3,6,2,2,3,10,4
"Wrexham 007B ",7,6,4,7,10,4,7,3,1,9,4,4,3,4,11,5
"Wrexham 007C ",12,11,7,14,9,16,13,5,9,7,6,6,7,10,18,10
"Wrexham 007D ",8,7,2,9,8,6,9,3,4,2,4,1,1,8,10,4
"Wrexham 008A ",5,5,4,4,11,5,1,5,5,8,4,2,3,2,6,4
"Wrexham 008B ",20,19,11,17,24,19,18,13,8,11,14,10,10,18,15,13
"Wrexham 008C ",37,29,16,28,52,44,16,10,8,21,22,14,18,21,34,21
"Wrexham 008D ",6,6,3,6,14,4,3,6,2,6,2,2,3,3,10,4
"Wrexham 008E ",14,12,8,10,22,7,15,6,13,7,11,5,9,5,15,9
"Wrexham 008F ",11,11,10,15,15,11,8,7,8,13,11,8,9,11,20,11
"Wrexham 009A ",25,23,12,15,24,29,21,17,14,11,13,11,12,9,20,15
"Wrexham 009B ",31,30,19,26,28,36,30,26,18,17,17,21,17,25,28,23
"Wrexham 009C ",26,25,12,16,29,22,27,23,16,10,14,11,9,11,21,15
"Wrexham 010A ",27,26,16,23,29,28,24,22,16,18,9,19,16,23,24,20
"Wrexham 010B ",48,47,26,44,47,51,47,43,20,28,29,20,25,36,55,34
"Wrexham 010C ",62,59,40,36,67,62,56,38,34,57,38,30,36,32,41,47
"Wrexham 010D ",59,56,30,38,74,52,49,37,38,33,30,23,25,34,44,39
"Wrexham 010E ",52,50,31,44,58,45,52,41,33,31,35,23,33,43,45,38
"Wrexham 011A ",13,13,10,22,19,9,9,19,11,7,9,10,11,15,30,12
"Wrexham 011B ",19,18,12,28,26,16,12,11,13,11,10,14,14,23,35,15
"Wrexham 011C ",15,15,8,14,19,11,14,15,10,8,9,8,5,6,23,10
"Wrexham 011D ",21,21,12,20,16,21,29,20,9,10,11,15,16,15,27,15
"Wrexham 012A ",26,23,14,29,31,32,18,7,15,12,18,12,17,16,46,19
"Wrexham 012B ",34,35,24,36,38,34,31,40,30,17,26,25,24,32,45,27
"Wrexham 012D ",22,24,15,27,21,22,24,38,20,13,11,15,18,23,33,18
"Wrexham 012E ",21,19,9,20,21,26,12,11,12,13,7,9,7,16,26,13
"Wrexham 012F ",27,24,12,30,27,30,20,4,11,13,13,14,11,26,37,17
"Wrexham 012G ",28,29,20,38,19,31,42,33,15,15,21,27,23,28,48,24
"Wrexham 006A ",10,10,5,20,8,9,13,17,5,3,4,9,7,13,34,8
"Wrexham 006B ",31,32,18,28,33,32,28,37,20,12,19,18,17,21,38,22
"Wrexham 006C ",36,38,20,25,39,38,32,44,16,22,21,17,15,25,25,25
"Wrexham 006D ",13,14,9,22,17,10,11,18,10,8,9,7,10,13,30,13
"Wrexham 006E ",19,17,8,11,34,12,10,7,9,14,7,6,9,8,15,11
"Wrexham 013A ",20,18,8,10,18,22,20,13,7,5,13,7,7,11,9,10
"Wrexham 013B ",8,8,4,6,11,10,4,8,2,7,6,2,2,4,10,5
"Wrexham 013C ",35,34,21,28,36,31,37,29,21,23,19,19,19,22,37,25
"Wrexham 013D ",28,27,12,22,36,24,27,23,13,13,9,13,12,17,32,17
"Wrexham 014A ",22,21,9,28,18,20,29,15,6,9,8,9,10,24,34,15
"Wrexham 014B ",12,10,4,9,12,15,9,4,5,5,6,3,1,7,11,6
"Wrexham 014C ",9,8,4,9,8,12,7,6,3,5,5,5,2,7,12,6
"Wrexham 014D ",21,21,11,17,20,24,20,21,16,12,9,11,8,14,20,14
"Wrexham 015A ",27,28,16,30,37,27,21,38,17,14,14,18,14,26,36,20
"Wrexham 015B ",33,33,20,29,36,32,32,33,19,22,18,16,16,27,33,24
"Wrexham 015C ",24,24,17,30,22,24,29,20,16,21,16,14,19,28,34,21
"Wrexham 015D ",17,17,10,18,21,15,16,20,9,12,8,9,11,14,23,13
"Wrexham 016A ",9,7,3,6,17,10,5,1,2,8,1,2,3,4,9,4
"Wrexham 016B ",16,18,9,15,22,8,17,30,6,11,10,8,4,8,24,12
"Wrexham 016C ",7,7,5,6,10,10,2,8,7,4,4,3,7,2,11,5
"Wrexham 016D ",24,24,15,28,31,20,22,24,17,13,16,13,16,23,34,19
"Wrexham 016E ",20,19,10,17,28,18,12,14,13,8,9,11,11,16,18,13
"Wrexham 017A ",16,16,10,12,13,14,21,15,13,10,11,9,10,11,13,12
"Wrexham 017B ",18,19,15,32,15,20,19,22,11,12,15,16,17,27,38,19
"Wrexham 017C ",24,24,15,30,28,21,23,23,11,12,15,14,19,23,42,19
"Wrexham 017D ",11,12,7,20,23,8,8,15,6,11,5,6,6,15,27,10
"Wrexham 017E ",49,48,32,49,43,47,59,41,30,27,33,35,32,46,52,39
"Wrexham 018A ",7,7,5,8,10,8,5,5,8,9,5,4,2,5,14,6
"Wrexham 018B ",5,5,3,12,14,3,3,4,3,8,3,1,3,8,18,6
"Wrexham 018C ",10,9,4,10,16,10,7,3,3,5,3,4,3,7,15,6
"Wrexham 018D ",9,9,6,15,13,7,7,10,6,4,5,5,9,10,20,8
"Wrexham 019C ",13,13,6,18,11,18,9,12,4,10,3,5,7,14,27,10
"Wrexham 019D ",19,18,14,19,22,22,13,18,18,14,9,14,14,16,22,16
"Wrexham 019E ",17,17,12,18,17,19,14,13,16,14,10,12,8,11,26,14
"Wrexham 019F ",14,15,8,13,20,10,16,18,6,6,9,9,6,9,19,10
"Powys 001A ",18,18,11,15,21,14,20,15,10,10,17,10,10,11,19,14
"Powys 001D ",10,11,6,15,8,9,12,14,6,4,5,5,5,8,22,9
"Powys 001E ",12,15,7,11,14,10,12,25,4,3,6,8,5,9,14,9
"Powys 001F ",11,10,6,14,16,8,9,5,4,10,7,5,6,11,21,9
"Powys 001G ",17,15,5,11,19,12,19,7,3,4,9,5,2,7,17,8
"Powys 002A ",6,7,5,8,2,4,10,11,6,2,5,5,4,4,12,6
"Powys 002B ",6,7,4,11,7,3,7,9,5,4,5,3,4,8,17,6
"Powys 002C ",7,7,5,16,6,10,6,5,8,7,7,5,3,10,21,8
"Powys 003A ",42,40,19,34,34,38,58,30,12,23,16,19,17,23,44,26
"Powys 003B ",18,19,15,32,16,11,28,23,18,15,9,17,17,20,40,20
"Powys 003C ",23,23,10,11,17,32,21,21,7,8,10,11,7,9,14,12
"Powys 003D ",18,18,10,13,20,21,15,14,9,10,12,10,9,11,15,13
"Powys 005A ",8,9,6,10,4,12,8,15,10,5,5,5,4,4,19,7
"Powys 005B ",7,7,4,8,12,7,3,6,4,5,4,5,2,5,11,5
"Powys 005C ",5,6,5,10,4,3,9,10,4,2,4,4,8,8,13,6
"Powys 005D ",12,11,4,9,9,13,13,10,8,2,6,3,2,8,9,6
"Powys 004A ",11,12,7,12,8,9,17,14,8,6,9,5,7,10,14,9
"Powys 004B ",17,16,8,11,18,15,20,11,14,7,9,6,7,9,15,10
"Powys 004C ",13,13,10,20,19,10,11,16,9,10,9,10,8,17,22,13
"Powys 006A ",14,13,7,14,11,17,14,12,4,7,8,5,8,8,23,10
"Powys 006B ",14,13,6,17,20,7,15,13,5,9,6,5,4,13,24,10
"Powys 006C ",9,10,6,8,15,11,4,14,2,8,7,4,3,6,12,7
"Powys 007A ",11,10,5,12,6,14,13,4,0,6,8,5,4,10,13,8
"Powys 007B ",9,8,4,10,11,10,7,6,6,4,5,3,2,6,17,6
"Powys 007C ",11,11,5,12,12,9,12,10,7,8,5,5,3,5,20,8
"Powys 008A ",26,25,17,25,20,22,38,21,13,17,18,18,18,20,31,20
"Powys 008B ",6,6,5,15,7,9,3,6,5,5,5,4,6,13,17,8
"Powys 008C ",10,9,8,11,7,11,11,6,11,8,6,7,8,6,16,9
"Powys 009A ",33,32,22,27,33,32,34,26,23,24,20,20,22,24,35,26
"Powys 009B ",33,32,17,26,31,40,28,27,22,17,18,12,14,17,34,22
"Powys 009C ",29,28,22,29,36,28,25,23,19,22,18,18,32,23,38,25
"Powys 010A ",11,12,5,9,7,9,15,15,3,6,8,6,2,8,9,7
"Powys 010B ",10,11,4,7,12,8,10,14,5,6,5,2,3,5,12,6
"Powys 010C ",12,15,10,16,15,12,11,28,5,12,8,10,9,10,20,12
"Powys 010D ",10,12,10,13,14,11,7,18,4,10,8,10,11,11,15,11
"Powys 011A ",16,16,8,13,12,15,21,16,5,7,10,8,8,10,17,11
"Powys 011B ",20,22,12,11,28,10,22,27,22,10,14,10,7,11,10,13
"Powys 011C ",6,6,8,16,11,2,5,7,10,6,6,11,6,8,26,10
"Powys 011D ",13,15,7,10,14,11,15,24,2,8,12,5,4,5,20,9
"Powys 011E ",10,9,6,10,16,3,13,5,5,3,9,7,4,6,15,7
"Powys 011F ",13,13,6,12,13,10,14,14,3,6,9,6,5,8,17,9
"Powys 011G ",11,11,8,20,17,1,14,11,4,11,7,7,9,13,25,12
"Powys 012A ",23,20,13,14,26,34,18,10,10,18,15,12,12,11,19,14
"Powys 012B ",17,17,8,9,36,10,13,16,20,8,8,7,4,6,13,10
"Powys 012C ",9,9,5,9,7,11,7,8,9,7,5,5,4,5,15,7
"Powys 012D ",20,18,7,7,19,19,20,9,2,13,14,6,4,5,11,9
"Powys 012E ",21,20,10,15,21,23,21,12,8,10,13,11,7,13,17,13
"Powys 013A ",18,17,22,29,25,12,20,14,13,19,23,25,28,31,28,23
"Powys 013B ",36,34,16,15,33,30,45,23,24,22,15,14,10,12,19,20
"Powys 013C ",19,18,16,12,20,17,19,15,26,16,20,16,10,11,13,15
"Powys 014A ",16,17,10,20,13,13,20,21,6,5,9,10,16,16,26,13
"Powys 014B ",9,9,5,10,14,2,10,10,8,4,4,5,5,9,12,7
"Powys 014C ",5,5,3,8,12,3,5,3,8,1,7,3,1,3,14,5
"Powys 014D ",15,13,7,12,13,12,18,8,16,9,6,8,5,7,22,10
"Powys 014E ",14,12,7,13,9,20,12,4,2,9,10,7,6,9,19,9
"Powys 015A ",6,7,6,10,7,4,7,10,8,3,5,10,5,6,15,7
"Powys 015B ",8,8,4,8,5,4,14,10,4,3,3,6,2,4,14,6
"Powys 015C ",8,8,6,9,5,5,12,7,8,7,5,5,5,7,13,7
"Powys 015D ",10,10,7,15,12,9,11,9,5,5,7,10,7,13,17,10
"Powys 015E ",11,12,6,13,7,12,14,16,3,5,8,7,4,10,16,9
"Powys 017A ",11,9,10,22,19,11,5,6,13,9,9,11,12,21,23,12
"Powys 017D ",11,12,9,16,20,8,6,21,13,5,6,10,7,17,15,11
"Powys 017E ",11,10,4,6,12,11,9,6,3,5,3,3,3,7,6,5
"Powys 017F ",17,16,5,7,17,23,13,11,6,9,3,5,2,5,9,8
"Powys 017G ",24,24,18,20,21,26,25,25,15,23,22,12,18,19,24,20
"Powys 018E ",7,7,4,7,7,8,8,6,6,6,2,5,2,2,12,5
"Powys 018F ",10,10,6,10,16,3,14,7,6,7,5,5,5,7,14,8
"Powys 018G ",6,6,4,7,4,6,7,7,4,5,6,1,4,5,8,5
"Powys 018H ",5,6,4,8,9,5,3,10,9,3,5,3,4,5,12,5
"Powys 020A ",3,5,5,6,4,1,4,13,6,3,3,6,3,4,10,5
"Powys 020B ",13,12,5,8,12,14,12,8,8,5,5,5,4,4,14,7
"Powys 020C ",11,12,6,7,12,6,16,15,8,8,6,8,3,3,14,7
"Powys 020D ",8,7,3,12,9,9,6,5,2,6,4,4,1,10,14,7
"Powys 021A ",21,20,10,15,27,22,16,17,10,16,10,5,9,10,21,13
"Powys 021B ",25,24,11,14,17,37,24,20,8,12,12,9,10,10,19,14
"Powys 021C ",13,12,10,16,13,11,16,9,12,10,10,11,10,11,20,12
"Powys 021D ",44,39,28,27,42,51,39,20,36,28,29,28,27,22,35,31
"Powys 021E ",28,26,9,15,45,28,16,16,12,9,12,8,7,11,21,13
"Powys 021F ",20,19,12,21,20,17,22,15,7,17,12,10,11,16,26,15
"Ceredigion 001C ",15,14,7,10,20,17,10,11,11,10,7,7,4,8,13,9
"Ceredigion 001D ",18,17,9,14,21,15,19,13,9,12,10,6,8,11,17,12
"Ceredigion 001E ",8,9,4,10,11,5,8,11,4,2,6,3,3,4,20,6
"Ceredigion 001F ",16,15,8,12,25,13,11,13,12,9,11,7,4,11,13,10
"Ceredigion 002A ",2,2,3,11,0,2,6,1,1,5,4,9,16,6,15,4
"Ceredigion 002B ",15,14,6,18,31,5,7,13,2,9,21,27,25,20,15,7
"Ceredigion 002D ",7,8,6,23,16,0,6,10,2,6,15,21,21,25,21,8
"Ceredigion 002F ",21,16,4,9,25,25,15,4,1,13,11,17,12,10,8,6
"Ceredigion 003A ",30,29,18,20,31,25,34,25,9,18,16,24,20,21,19,21
"Ceredigion 003B ",35,37,16,21,42,29,34,48,8,18,14,15,13,17,25,21
"Ceredigion 003C ",19,20,8,21,29,19,10,28,3,11,11,12,12,23,20,13
"Ceredigion 003E ",12,12,5,21,9,11,17,16,1,5,10,3,12,21,21,8
"Ceredigion 003F ",14,8,3,7,16,7,17,1,0,4,11,13,8,5,11,4
"Ceredigion 005A ",21,20,10,18,33,15,14,15,6,11,9,11,9,13,23,14
"Ceredigion 005B ",21,21,9,12,26,21,17,24,10,11,9,7,6,11,13,12
"Ceredigion 005C ",10,10,7,8,17,10,4,12,7,8,8,5,5,4,15,8
"Ceredigion 005D ",18,17,8,13,21,11,21,14,4,9,14,6,7,10,18,11
"Ceredigion 005E ",17,17,11,14,14,18,17,18,10,15,12,8,9,7,21,13
"Ceredigion 011A ",2,2,2,5,3,2,0,6,2,6,4,1,1,1,7,3
"Ceredigion 011B ",14,15,6,7,19,17,9,19,3,7,5,7,3,7,9,8
"Ceredigion 011E ",17,18,11,14,23,14,14,26,13,10,12,10,10,12,18,13
"Ceredigion 011F ",19,18,8,14,21,22,14,13,8,11,6,6,10,12,17,12
"Ceredigion 011C ",17,17,8,11,24,15,15,18,12,11,9,6,7,10,13,11
"Ceredigion 011G ",21,21,12,12,22,19,23,18,12,11,11,11,12,7,16,13
"Ceredigion 011D ",10,9,6,10,9,8,12,6,4,7,8,6,5,8,12,8
"Ceredigion 007A ",27,27,13,16,39,17,27,25,14,19,11,11,8,13,20,16
"Ceredigion 007B ",12,13,6,13,16,11,11,14,5,7,6,5,4,8,18,9
"Ceredigion 007C ",27,28,12,17,26,25,31,32,7,12,15,9,9,16,18,15
"Ceredigion 007D ",17,15,8,9,16,11,21,10,5,8,8,10,6,7,12,9
"Ceredigion 008A ",12,11,6,11,13,10,12,9,2,8,10,12,9,10,11,8
"Ceredigion 008B ",17,17,12,21,13,22,20,12,13,13,14,10,12,21,22,15
"Ceredigion 008C ",15,17,11,16,18,7,18,27,11,12,10,11,7,15,18,13
"Ceredigion 008D ",23,22,12,15,18,23,27,15,10,13,12,16,9,14,17,15
"Ceredigion 008E ",15,17,9,13,16,15,15,23,5,8,13,8,6,7,22,11
"Ceredigion 009A ",8,11,6,9,7,10,7,28,6,6,7,6,5,9,9,8
"Ceredigion 009B ",36,31,15,19,38,50,22,9,22,15,17,15,11,16,21,19
"Ceredigion 009C ",25,26,15,14,28,22,24,35,13,17,18,10,13,13,16,16
"Ceredigion 009D ",26,27,24,30,24,23,31,35,17,13,25,24,33,27,33,26
"Ceredigion 009E ",58,57,34,27,61,61,51,49,39,45,36,28,21,24,32,39
"Ceredigion 009F ",25,27,15,12,29,20,26,34,8,24,14,11,16,11,13,16
"Ceredigion 009G ",13,16,10,16,16,13,11,32,13,16,6,8,5,14,18,12
"Ceredigion 010A ",17,17,7,15,14,26,13,17,4,11,8,9,3,10,22,11
"Ceredigion 010B ",18,18,8,15,27,10,17,17,9,5,8,9,5,12,19,11
"Ceredigion 010C ",24,23,13,17,21,26,24,17,13,14,16,15,8,15,19,16
"Ceredigion 010D ",32,31,16,17,36,27,34,26,14,21,16,12,15,15,22,19
"Ceredigion 010E ",17,18,10,15,20,19,13,23,10,11,17,6,8,10,24,13
"Pembrokeshire 001A ",14,13,8,11,11,18,13,8,10,13,4,8,9,11,11,10
"Pembrokeshire 001B ",23,24,10,12,6,21,37,30,13,8,11,12,5,9,16,13
"Pembrokeshire 001C ",9,9,7,11,7,9,10,7,12,7,8,7,4,9,16,8
"Pembrokeshire 001D ",20,20,9,13,13,19,25,21,5,6,10,12,7,10,18,12
"Pembrokeshire 001E ",21,19,10,12,21,21,21,12,10,13,9,12,7,9,15,12
"Pembrokeshire 002A ",14,16,8,8,10,10,19,25,4,8,13,6,5,7,11,9
"Pembrokeshire 002B ",34,32,15,14,43,25,38,22,14,18,17,17,10,11,17,18
"Pembrokeshire 002C ",29,26,13,15,26,26,34,16,14,15,15,14,10,13,18,16
"Pembrokeshire 002D ",27,28,15,19,33,26,23,31,16,17,14,14,8,17,24,18
"Pembrokeshire 002E ",11,10,8,10,12,5,17,5,15,12,7,3,7,9,11,9
"Pembrokeshire 002F ",23,24,11,11,18,23,26,29,24,11,9,12,7,7,15,13
"Pembrokeshire 003A ",18,17,8,12,23,15,18,11,8,7,12,8,4,7,20,11
"Pembrokeshire 003B ",17,16,7,10,22,13,15,13,4,9,9,7,4,7,16,9
"Pembrokeshire 003C ",15,15,11,11,14,15,16,15,4,9,6,21,9,8,15,12
"Pembrokeshire 003D ",17,16,6,13,17,23,15,12,4,3,8,13,5,12,16,9
"Pembrokeshire 004A ",18,19,8,12,23,20,15,25,9,10,9,6,7,12,13,11
"Pembrokeshire 004B ",14,13,7,15,9,14,17,9,5,6,10,5,6,13,17,10
"Pembrokeshire 004C ",14,13,7,5,24,10,10,11,10,12,5,5,6,3,7,7
"Pembrokeshire 004D ",9,10,6,8,9,12,7,18,6,5,4,7,3,3,13,7
"Pembrokeshire 005A ",24,25,21,23,28,23,20,30,22,21,23,18,17,20,27,21
"Pembrokeshire 005B ",15,15,9,23,11,18,17,14,9,5,7,9,14,14,31,13
"Pembrokeshire 005C ",57,55,34,43,69,58,42,38,41,33,31,32,36,35,57,42
"Pembrokeshire 005D ",15,14,8,14,23,17,11,10,10,10,9,6,4,10,17,10
"Pembrokeshire 006A ",26,25,12,17,25,30,23,24,16,13,9,11,9,15,19,16
"Pembrokeshire 006B ",16,17,9,14,16,15,18,22,11,9,8,6,6,10,20,11
"Pembrokeshire 006C ",34,34,18,23,37,37,30,32,16,22,20,13,12,18,30,22
"Pembrokeshire 008A ",11,10,5,10,9,12,11,5,8,9,6,6,2,10,9,7
"Pembrokeshire 008B ",21,20,8,9,20,20,24,12,8,18,8,10,3,5,14,11
"Pembrokeshire 008C ",19,18,9,19,19,22,16,10,9,11,9,7,8,13,25,13
"Pembrokeshire 008D ",13,13,7,12,13,11,15,14,8,6,9,7,3,7,19,9
"Pembrokeshire 008E ",5,5,5,8,6,2,6,7,10,6,6,5,2,6,11,6
"Pembrokeshire 009A ",10,9,6,9,12,13,6,6,8,11,5,7,2,4,16,7
"Pembrokeshire 009B ",12,11,6,10,15,12,10,8,9,8,7,6,3,6,16,8
"Pembrokeshire 009C ",19,20,13,18,19,19,20,23,12,10,15,14,11,13,24,15
"Pembrokeshire 009D ",24,24,14,19,39,19,21,24,15,18,13,12,11,15,24,17
"Pembrokeshire 010A ",22,20,13,22,24,25,17,14,12,11,14,14,15,19,26,17
"Pembrokeshire 010B ",35,32,24,21,40,31,34,21,38,27,20,24,16,18,25,26
"Pembrokeshire 010C ",30,30,16,18,30,27,33,32,16,16,16,16,10,13,24,19
"Pembrokeshire 012A ",21,21,18,27,20,18,25,22,18,17,15,15,25,19,36,20
"Pembrokeshire 012B ",24,23,12,19,18,18,33,21,14,16,12,11,10,21,18,16
"Pembrokeshire 012C ",29,27,12,16,26,32,29,13,13,10,15,13,12,10,22,17
"Pembrokeshire 012D ",46,43,24,22,59,42,40,25,26,32,31,15,20,25,20,30
"Pembrokeshire 012E ",38,36,24,28,33,44,39,24,29,24,23,19,26,27,30,27
"Pembrokeshire 007A ",13,13,6,11,7,12,17,13,4,5,7,7,3,6,17,8
"Pembrokeshire 007B ",8,9,6,11,7,7,10,12,7,5,2,9,3,7,15,8
"Pembrokeshire 007C ",16,17,12,18,18,11,19,19,7,13,14,10,10,16,21,14
"Pembrokeshire 007D ",9,9,6,11,9,8,10,9,5,7,7,6,3,8,15,8
"Pembrokeshire 011A ",25,23,10,8,42,14,23,14,10,15,9,13,6,5,12,11
"Pembrokeshire 011B ",15,16,9,15,18,10,16,24,7,3,16,10,8,14,16,12
"Pembrokeshire 011C ",18,17,10,18,21,21,15,14,8,13,13,9,9,12,23,14
"Pembrokeshire 011D ",19,19,10,17,16,22,19,21,10,6,12,8,11,13,22,14
"Pembrokeshire 011E ",14,17,9,10,18,9,18,27,17,2,11,8,7,8,12,10
"Pembrokeshire 011F ",23,22,10,12,44,16,16,19,7,11,12,6,11,7,17,13
"Pembrokeshire 013A ",29,29,25,34,29,32,27,25,16,25,24,25,31,30,39,27
"Pembrokeshire 013B ",52,48,33,35,69,36,56,28,34,40,33,27,33,33,39,38
"Pembrokeshire 013C ",19,19,14,15,15,24,20,19,26,11,13,12,11,9,22,15
"Pembrokeshire 013D ",19,19,16,19,21,21,16,20,15,18,17,13,19,15,24,17
"Pembrokeshire 013E ",41,39,23,24,33,48,45,31,23,25,28,21,15,19,34,27
"Pembrokeshire 013F ",22,22,13,20,18,19,27,23,15,11,15,11,11,17,25,16
"Pembrokeshire 014A ",9,8,5,14,10,9,7,5,8,5,5,5,5,11,21,8
"Pembrokeshire 014B ",15,16,9,9,11,16,17,20,6,3,15,9,5,6,14,10
"Pembrokeshire 014C ",22,22,12,14,26,26,16,21,9,10,17,11,8,14,15,14
"Pembrokeshire 014D ",17,15,8,8,23,14,17,9,8,8,10,7,8,5,13,9
"Pembrokeshire 015A ",21,18,7,10,14,23,23,12,9,4,9,7,4,8,15,9
"Pembrokeshire 015B ",50,47,30,41,59,45,45,30,35,35,24,25,30,38,45,36
"Pembrokeshire 015C ",45,43,21,20,59,33,45,34,27,27,23,17,12,17,23,26
"Pembrokeshire 015D ",25,23,15,20,28,35,19,15,12,19,21,14,10,19,21,18
"Pembrokeshire 016A ",10,9,6,8,9,10,11,5,6,7,12,5,4,5,12,7
"Pembrokeshire 016B ",13,11,7,16,9,19,11,6,7,7,6,8,8,13,20,11
"Pembrokeshire 016C ",15,15,8,25,9,18,21,18,0,5,5,12,13,25,24,14
"Pembrokeshire 016D ",17,17,9,19,29,15,11,12,13,7,9,10,9,12,26,13
